source,target,value
OYa3gwOaCZl+IRmgITaVj4kPFZE=,8afRAsJvbG0Zso7mlN6dR/m9CJk=,1.0
OYa3gwOaCZl+IRmgITaVj4kPFZE=,eFNPAzS7Ah35OZEruQxZftUQvvs=,1.0
OYa3gwOaCZl+IRmgITaVj4kPFZE=,Iz3kU14C7HPkX6fL/UAlUE+8F04=,1.0
8afRAsJvbG0Zso7mlN6dR/m9CJk=,OYa3gwOaCZl+IRmgITaVj4kPFZE=,1.0
